,Country,Conflict and Terrorism,Epidemics,Famine,Natural Disaster,Other Injuries,WHO Region,Coronovirus
0,Afghanistan,651211,2352,36,15350,5587,Eastern Mediterranean,4293
1,Albania,2101,25,0,96,222,Europe,2454
2,Algeria,30919,173,0,6820,1711,Africa,3641
3,American Samoa,10,0,0,41,0,Western Pacific,0
4,Angola,110906,12912,58,703,1805,Africa,868
5,Antigua and Barbuda,6,0,0,9,0,Americas,42
6,Argentina,10165,36,0,560,846,Americas,89043
7,Armenia,2145,0,0,25013,0,Europe,4502
8,Australia,69,0,0,423,443,Western Pacific,910
9,Austria,21,5,0,408,218,Europe,10419
10,Azerbaijan,12723,68,0,67,751,Europe,4963
11,Bahrain,51,0,0,0,245,Eastern Mediterranean,1311
12,Bangladesh,2305,3771,0,178997,18002,South-East Asia,13702
13,Barbados,3,0,0,2,0,Americas,47
14,Belarus,98,71,0,43,38,Europe,3053
15,Belgium,138,0,0,44,419,Europe,25141
16,Belize,96,0,0,64,0,Americas,328
17,Benin,35,3614,0,183,460,Africa,103
18,Bermuda,39,0,0,6,5,Americas,33
19,Bhutan,13,66,0,263,0,South-East Asia,1
20,Bosnia and Herzegovina,26477,0,0,41,260,Europe,9643
21,Botswana,11,46,0,43,0,Africa,1069
22,Brazil,843,13592,161,9347,40893,Americas,501825
23,Bulgaria,29,12,0,83,198,Europe,18000
24,Burkina Faso,383,30959,0,172,499,Africa,167
25,Burundi,162803,1417,126,237,866,Africa,8
26,Cambodia,55629,1361,0,1685,539,Western Pacific,441
27,Cameroon,4953,9362,0,1934,1698,Africa,1320
28,Canada,511,72,0,426,675,Americas,26076
29,Central African Republic,13259,3439,0,24,2762,Africa,98
30,Chad,27723,9627,3000,326,981,Africa,174
31,Chile,222,78,0,1724,481,Americas,31645
32,China,7375,8020,3362,155467,30550,Western Pacific,5415
33,Colombia,42507,556,0,30091,45486,Americas,99934
34,Comoros,86,292,0,66,810,Africa,146
35,Congo,16419,1127,0,28,1363,Africa,164
36,Costa Rica,14,4,0,378,49,Americas,4506
37,Croatia,7911,34,0,21,119,Europe,8188
38,Cuba,9,2185,0,251,228,Americas,1170
39,Cyprus,27,0,0,5,105,Europe,374
40,Democratic Republic of the Congo,138958,38407,0,1316,19134,Africa,879
41,Denmark,26,40,0,24,2,Europe,2531
42,Djibouti,733,273,0,231,146,Eastern Mediterranean,155
43,Dominica,11,0,0,20,1,Americas,0
44,Dominican Republic,29,694,0,1328,924,Americas,3758
45,Ecuador,96,1267,0,7183,122,Americas,21304
46,Egypt,4480,2226,0,1574,6668,Eastern Mediterranean,15898
47,El Salvador,62871,149,0,3773,12134,Americas,2336
48,Equatorial Guinea,31,68,0,0,120,Africa,120
49,Eritrea,163908,13,0,3,240,Africa,19
50,Estonia,12,52,0,5,300,Europe,1269
51,Ethiopia,163723,7075,300367,2246,7731,Africa,4283
52,Fiji,8,0,0,245,17,Western Pacific,7
53,Finland,73,0,0,17,23,Europe,967
54,France,1103,15,0,1311,3540,Europe,109879
55,Gabon,11,419,0,1,257,Africa,156
56,Georgia,4227,29,0,358,28,Europe,5199
57,Germany,286,68,0,264,665,Europe,90472
58,Ghana,337,10303,0,457,3748,Africa,794
59,Greece,215,0,0,330,2100,Europe,12565
60,Greenland,0,0,0,2,0,Europe,0
61,Grenada,9,0,0,19,0,Americas,1
62,Guam,15,0,0,2,0,Western Pacific,139
63,Guatemala,37267,571,196,1926,580,Americas,8735
64,Guinea,2205,8685,12,314,1440,Africa,167
65,Guinea-Bissau,959,2541,0,6,410,Africa,69
66,Guyana,65,0,0,34,0,Americas,447
67,Haiti,1067,9439,0,227938,3573,Americas,369
68,Honduras,355,330,0,15721,19470,Americas,6766
69,Hungary,13,17,0,115,189,Europe,29879
70,Iceland,0,2,0,48,0,Europe,30
71,India,90447,14804,316,127499,61012,South-East Asia,389302
72,Indonesia,61725,2155,1277,187990,13783,South-East Asia,55291
73,Iraq,705170,86,0,138,5378,Eastern Mediterranean,16910
74,Ireland,49,19,0,41,4,Europe,4941
75,Israel,8954,45,0,37,82,Europe,6428
76,Italy,339,1,0,9198,1907,Europe,127291
77,Jamaica,38,0,0,193,331,Americas,1034
78,Japan,150,0,0,29298,1127,Western Pacific,14454
79,Jordan,254,7,0,37,209,Eastern Mediterranean,9671
80,Kazakhstan,418,0,0,190,577,Europe,7666
81,Kenya,10200,3918,194,1478,8491,Africa,3461
82,Kiribati,7,0,0,0,0,Western Pacific,0
83,Kuwait,1999,0,0,2,49,Eastern Mediterranean,1877
84,Kyrgyzstan,718,0,0,564,37,Europe,1945
85,Latvia,12,18,0,10,105,Europe,2496
86,Lebanon,66199,23,0,25,2523,Eastern Mediterranean,7825
87,Lesotho,213,5,0,67,40,Africa,329
88,Liberia,20453,10849,0,60,3346,Africa,99
89,Libya,60555,2,0,16,5702,Eastern Mediterranean,3178
90,Lithuania,28,48,0,20,224,Europe,4371
91,Luxembourg,2,0,0,3,3,Europe,818
92,Madagascar,1200,2656,200,2066,577,Africa,903
93,Malawi,91,3657,500,910,341,Africa,1171
94,Malaysia,217,497,0,790,1412,Western Pacific,4477
95,Maldives,0,1,0,102,41,South-East Asia,206
96,Mali,30150,8219,0,142,1616,Africa,524
97,Malta,6,13,0,1,2,Europe,420
98,Marshall Islands,0,6,0,0,0,Western Pacific,0
99,Mauritania,167,727,0,76,803,Africa,481
100,Mauritius,0,1,0,33,0,Africa,18
101,Mexico,781,334,0,10385,96730,Americas,231187
102,Mongolia,44,12,0,270,215,Western Pacific,447
103,Montenegro,13,0,0,1,14,Europe,1605
104,Morocco,6567,305,0,1877,1631,Eastern Mediterranean,9244
105,Mozambique,132561,8941,100068,2092,1437,Africa,848
106,Myanmar,48007,222,0,139693,5062,South-East Asia,3267
107,Namibia,9791,318,0,264,72,Africa,1179
108,Nepal,14260,1524,0,17403,2674,South-East Asia,8813
109,Netherlands,241,13,0,48,153,Europe,17727
110,New Zealand,32,251,0,509,90,Western Pacific,26
111,Nicaragua,40232,869,0,1647,239,Americas,189
112,Niger,2921,17585,0,472,678,Africa,193
113,Nigeria,42675,41203,0,1660,37156,Africa,2119
114,Norway,95,81,0,183,583,Europe,790
115,Oman,0,16,0,95,97,Eastern Mediterranean,2741
116,Pakistan,57369,531,145,88319,13784,Eastern Mediterranean,22007
117,Panama,962,0,0,223,16,Americas,6475
118,Papua New Guinea,462,1617,84,3013,593,Western Pacific,173
119,Paraguay,202,2,16,216,478,Americas,11633
120,Peru,30262,5052,0,4518,6720,Americas,190425
121,Philippines,27267,1166,0,27315,10240,Western Pacific,23749
122,Poland,42,0,0,185,1371,Europe,74858
123,Portugal,37,0,0,235,435,Europe,17068
124,Puerto Rico,107,0,0,3026,17,Americas,2540
125,Qatar,10,0,0,0,72,Eastern Mediterranean,583
126,Romania,464,134,0,350,998,Europe,32465
127,Russian Federation,34978,12974,0,5948,64448,Europe,130347
128,Rwanda,528547,1035,237,363,646,Africa,382
129,Saint Lucia,2,0,0,21,0,Americas,80
130,Saint Vincent and the Grenadines,0,0,0,25,0,Americas,12
131,Samoa,0,0,0,191,0,Western Pacific,0
132,Sao Tome and Principe,0,142,0,0,33,Africa,37
133,Saudi Arabia,5407,3,0,437,6623,Eastern Mediterranean,7691
134,Senegal,2304,4139,0,274,2099,Africa,1158
135,Serbia,11164,0,0,107,39,Europe,7004
136,Seychelles,0,46,0,8,0,Africa,52
137,Sierra Leone,21323,10136,0,515,1793,Africa,82
138,Singapore,8,0,0,3,1,Western Pacific,35
139,Slovakia,7,2,0,102,199,Europe,12502
140,Slovenia,67,0,0,43,7,Europe,4741
141,Solomon Islands,49,4,0,247,33,Western Pacific,0
142,Somalia,62120,10361,20623,3161,14379,Eastern Mediterranean,775
143,South Africa,4390,1442,0,1600,9761,Africa,58795
144,South Sudan,47212,1888,0,163,8707,Africa,115
145,Spain,1583,0,0,665,6735,Europe,80689
146,Sri Lanka,98665,169,0,37044,1727,South-East Asia,2576
147,Sudan,113892,9610,150000,1084,20391,Eastern Mediterranean,2737
148,Suriname,23,1,0,6,199,Americas,460
149,Sweden,27,6,0,80,580,Europe,14574
150,Switzerland,27,4,0,329,71,Europe,10270
151,Tajikistan,24335,704,0,2277,682,Europe,91
152,Thailand,8957,636,0,13339,3418,South-East Asia,1693
153,Timor-Leste,10664,0,0,5,0,South-East Asia,19
154,Togo,647,2947,0,72,206,Africa,128
155,Tonga,9,0,0,18,75,Western Pacific,0
156,Trinidad and Tobago,45,2,0,21,2,Americas,737
157,Tunisia,560,0,0,222,788,Eastern Mediterranean,14118
158,Turkey,38925,0,0,22428,4456,Europe,49236
159,Turkmenistan,117,0,0,15,3,Europe,0
160,Uganda,130414,6563,193,771,4839,Africa,680
161,Ukraine,9369,1093,0,326,2678,Europe,52053
162,United Arab Emirates,123,10,0,0,364,Eastern Mediterranean,1763
163,Uruguay,2,0,0,12,100,Americas,5271
164,Uzbekistan,877,376,0,61,27,Europe,720
165,Vanuatu,0,0,0,233,0,Western Pacific,0
166,Yemen,65961,2080,0,3140,3923,Eastern Mediterranean,1355
167,Zambia,227,12083,0,69,1159,Africa,1691
168,Zimbabwe,750,8793,0,299,1052,Africa,1685
